[@0,0:4='class',<4>,1:0]
[@1,6:12='Program',<5>,1:6]
[@2,14:14='{',<27>,2:0]
[@3,17:19='int',<19>,3:1]
[@4,21:21='a',<20>,3:5]
[@5,22:22=',',<33>,3:6]
[@6,23:23='b',<20>,3:7]
[@7,24:24=';',<31>,3:8]
[@8,28:31='void',<20>,5:1]
[@9,33:35='sum',<20>,5:6]
[@10,36:36='(',<25>,5:9]
[@11,37:37=')',<26>,5:10]
[@12,40:40='{',<27>,6:1]
[@13,44:44='a',<20>,7:2]
[@14,46:46='=',<22>,7:4]
[@15,48:49='10',<16>,7:6]
[@16,50:50=';',<31>,7:8]
[@17,54:54='b',<20>,8:2]
[@18,56:56='=',<22>,8:4]
[@19,58:59='20',<16>,8:6]
[@20,60:60=';',<31>,8:8]
[@21,64:70='callout',<13>,9:2]
[@22,71:71='(',<25>,9:9]
[@23,72:78='display',<20>,9:10]
[@24,79:79=',',<33>,9:17]
[@25,81:81='a',<20>,9:19]
[@26,82:82='+',<23>,9:20]
[@27,83:83='b',<20>,9:21]
[@28,84:84=')',<26>,9:22]
[@29,85:85=';',<31>,9:23]
[@30,88:88='}',<28>,10:1]
[@31,90:90='}',<28>,11:0]
[@32,92:91='<EOF>',<-1>,12:0]
